suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
weather-factory,n13-h1,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,1,,13,1,ok,4.08526965e-10,13.627461969968863,1.8010364596848376,0.08084195830796813,0.0017417219933122396,0.04421646268262217,1.7568199970022154,0.00030198803870007396,0.006575387247441227,0.07436133489580427,0.0,
weather-factory,n13-h2,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,2,,13,2,ok,5.2620061e-10,13.894279793952592,1.8519034153432585,0.03140111425331983,0.0017741480260156095,0.05422607566773271,1.797677339675526,0.00039624900091439486,0.007989834174215038,0.03470738047068588,0.0,
weather-factory,n13-h3,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,3,,13,3,ok,6.62865726e-10,14.038683118007611,1.849057556304615,0.036965518742731636,0.0015114800189621747,0.05631487197630728,1.7927426843283076,0.000456269015558064,0.012910803657617386,0.025013992048615295,0.0,
weather-factory,n13-h4,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,4,,13,4,ok,7.98774149e-10,14.046922694018576,1.829747180706666,0.03296231060441874,0.0015283700195141137,0.06648416103174289,1.7632630196749233,0.0005501430132426322,0.010038300461245715,0.04211025927173421,0.0,
weather-factory,n13-h5,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,5,,13,5,ok,9.34936094e-10,13.635211331013124,1.761172878012682,0.18159157195438214,0.0015291930176317692,0.059639656314781554,1.7015332216979004,0.0005639350274577737,0.015104935904405134,0.18379338428512884,0.0,
weather-factory,n13-h6,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,6,,13,6,ok,1.07110124e-09,14.314025424944703,1.9062044046780404,0.01910687678438558,0.0017832349985837936,0.06303193200922881,1.8431724726688117,0.0006381809944286942,0.01411198323469575,0.005149923655800357,0.0,
weather-factory,n13-h7,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,7,,13,7,ok,1.20727221e-09,13.390593540971167,1.8114920166941981,0.11225145836581903,0.0017697839648462832,0.057681734673678875,1.7538102820205193,0.0007480290369130671,0.015865427982458567,0.09733642460328179,0.0,
weather-factory,n13-h8,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,8,,13,8,ok,1.3434439e-09,13.878872869012412,1.8358950526453555,0.03141248468939061,0.0015947739593684673,0.06198098266031593,1.7739140699850395,0.0007947520352900028,0.00275780404665163,0.034123416305505104,0.0,
weather-factory,n13-h9,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,9,,13,9,ok,1.47961582e-09,14.058011558954604,1.9007786609969723,0.06974754318261477,0.001765813969541341,0.06461444532033056,1.8361642156766418,0.0008348780102096498,0.008929714109200954,0.0778188889677751,0.0,
weather-factory,n13-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,allStrike,10,,13,10,ok,1.6157878e-09,14.169095134013332,1.8576983299960073,0.05691539339576326,0.0015385200385935605,0.0574810203203621,1.800217309675645,0.00091847701696679,0.011474734027772007,0.06797162737746272,0.0,
