suite,case_id,tool,num_work_runs,geni_mode,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
weather-factory,n13-h10,geni,3,monolithic,allStrike,10,,13,10,ok,-2.4e-06,31.52902708136632,0.032301900766748645,
weather-factory,n13-h20,geni,3,monolithic,allStrike,20,,13,20,timeout,,,0.0,Timed out after 60 seconds
