suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,Q,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
parqueues,q3-n3-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,10,"{""N"": 3}",3,3,10,ok,0.78337624,4.5177941609872505,0.37120421533472836,0.04143065662095421,0.00041415600571781397,0.015935551336345572,0.3552686639983828,0.00041123502887785435,0.0019057993461980224,0.043043085045503846,0.0,
parqueues,q4-n3-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,10,"{""N"": 3}",4,3,10,ok,0.02648763,4.805212217033841,0.3891534060239792,0.01624011690315644,0.000496016931720078,0.01873603102285415,0.37041737500112504,0.0004825789947062731,0.0058725483184415865,0.012032359929846331,0.0,
