suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
meeting,n12-h1,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,1,,12,1,ok,0.0,11.303612685005646,1.4065120663532678,0.06664940249536769,0.001187811023555696,0.05635699334864815,1.3501550730046195,0.0007407950470224023,0.0054323604908203035,0.07207937337490289,0.0,
meeting,n12-h2,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,2,,12,2,ok,3.77965941e-13,11.551698829978704,1.4294860533361013,0.021834772094752434,0.0010059819906018674,0.061549233990566186,1.367936819345535,0.001126188028138131,0.01918299353931029,0.04013765660321159,0.0,
meeting,n12-h3,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,3,,12,3,ok,5.64408061e-10,11.183956506953109,1.3238700513223496,0.058226817982685926,0.0010418369784019887,0.045771574310492724,1.2780984770118569,0.0015490149962715805,0.010542803413250269,0.05335107159114367,0.0,
meeting,n12-h4,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,4,,12,4,ok,3.53929147e-08,11.056474954006262,1.3449174646715012,0.08458110226003422,0.001007287995889783,0.05467437533661723,1.290243089334884,0.0018766759894788265,0.020504538395901918,0.06581105676261848,0.0,
meeting,n12-h5,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,5,,12,5,ok,5.78697873e-07,11.399458301020786,1.4060314636832725,0.08473053440730291,0.0009951440151780844,0.04933337434583033,1.356698089337442,0.0022564440150745213,0.006207153265148716,0.08049959096769743,0.0,
meeting,n12-h6,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,6,,12,6,ok,4.52868414e-06,11.23978421697393,1.4169466019957326,0.01062714057433656,0.0011998259578831494,0.05884437400770063,1.358102227988032,0.0026134999934583902,0.007676562261354895,0.015002793806717258,0.0,
meeting,n12-h7,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,7,,12,7,ok,2.22879181e-05,11.78350959502859,1.4350139930223424,0.05383219715764616,0.0011610080255195498,0.03856241898999239,1.3964515740323502,0.0029531169566325843,0.005422176295187553,0.04847479947691099,0.0,
meeting,n12-h8,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,8,,12,8,ok,7.98876338e-05,11.042937994992826,1.2861607756543283,0.03155574994347932,0.0010043700458481908,0.03836459633506214,1.2477961793192662,0.003382042981684208,0.004832164641947598,0.031239889966069505,0.0,
meeting,n12-h9,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,9,,12,9,ok,0.00022772,11.258510562009178,1.442726971678591,0.06009289087515674,0.0011816519545391202,0.05876592566103985,1.383961046017551,0.0037831319496035576,0.007528257709744569,0.06359566598230612,0.0,
meeting,n12-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,10,,12,10,ok,0.00054637,11.096074546978343,1.3680218826630153,0.07877555019911539,0.0011647259816527367,0.054356445655381926,1.3136654370076333,0.004063866974320263,0.020227131433444595,0.06220273169616498,0.0,
meeting,n12-h20,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,20,,12,20,ok,0.04173319,11.20998236502055,1.3911299636626306,0.03541574034656548,0.0009953610133379698,0.04798571332745875,1.3431442503351718,0.007619876996614039,0.007952414843821908,0.03717911370531214,0.0,
meeting,n12-h30,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,30,,12,30,ok,0.18475987,11.41881815897068,1.4229475309839472,0.1338525432535754,0.001167114998679608,0.058516996660425015,1.3644305343235221,0.011248262017033994,0.021208670190671453,0.11457511400192054,0.0,
meeting,n12-h40,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,40,,12,40,ok,0.36610229,12.050833606976084,1.4312286033527926,0.021897138820549326,0.0012354470090940595,0.04407275867803643,1.387155844674756,0.014873261039610952,0.003224661078026536,0.018892314832454477,0.0,
meeting,n12-h50,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,50,,12,50,ok,0.52789884,12.082940545980819,1.4191311169803764,0.059475811292558946,0.001145619957242161,0.047431739997894816,1.3716993769824815,0.01853559399023652,0.0042901011107169445,0.05518862159109206,0.0,
meeting,n12-h60,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,60,,12,60,ok,0.65444029,11.546845152974129,1.3986750416418847,0.060551920290842484,0.0011034779599867761,0.05877613497432321,1.3398989066675615,0.022082444047555327,0.018648367933958892,0.05329899853607091,0.0,
meeting,n12-h70,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,70,,12,70,ok,0.74835072,11.763143938966095,1.4203632853265542,0.045628401374584966,0.0011860140366479754,0.05023804867717748,1.3701252366493766,0.025714269024319947,0.014626087634403234,0.03706928766127597,0.0,
meeting,n12-h80,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,80,,12,80,ok,0.81664084,11.260224092984572,1.3584572133452941,0.06735975528979858,0.0011765699600800872,0.04241589066805318,1.316041322677241,0.029236514994408935,0.008529326450405774,0.07460258619678375,0.0,
meeting,n12-h90,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,90,,12,90,ok,0.8659926,11.578307879972272,1.452906761628886,0.11242547392945644,0.0009937059949152172,0.0443864973106732,1.4085202643182129,0.03288899001199752,0.008017875360352332,0.10596989622789621,0.0,
meeting,n12-h100,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,100,,12,100,ok,0.90166717,11.686349663999863,1.4842383066619125,0.12527721527058688,0.001645785989239812,0.05121553665958345,1.433022770002329,0.03667527198558673,0.01837401521788431,0.11253429022809255,0.0,
meeting,n12-h200,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,200,,12,200,ok,0.9946228,12.203953052987345,1.4954250106626812,0.08387230261320458,0.001101118978112936,0.039483731340927385,1.4559412793217537,0.07252450898522511,0.003863543520993395,0.08137142821446387,0.0,
meeting,n12-h300,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,300,,12,300,ok,0.99965269,12.254864165966865,1.4779291599988937,0.09962219112858808,0.002033664030022919,0.06164091866230592,1.4162882413365878,0.08892745798220858,0.02364836939843968,0.0888243163486572,0.0,
meeting,n12-h400,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,400,,12,400,ok,0.99997649,12.153785226051696,1.514718246316382,0.06777213688772485,0.0010243799770250916,0.044904037980207555,1.4698142083361745,0.12203212396707386,0.010141614169581167,0.07651641060307053,0.0,
meeting,n12-h500,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,500,,12,500,ok,0.99999839,12.25902993400814,1.5512551663559861,0.02873070815507632,0.0012131789699196815,0.045573856662182756,1.5056813096938033,0.14926582103362307,0.005085437798522189,0.03223995873641248,0.0,
meeting,n12-h600,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,600,,12,600,ok,0.99999989,12.617948013008572,1.6071495626626227,0.04860390753796387,0.0012005079770460725,0.06667060699934761,1.540478955663275,0.17874192295130342,0.004781547514298555,0.05164970183435752,0.0,
meeting,n12-h700,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,700,,12,700,ok,0.99999999,12.520464968984015,1.5718802283129965,0.04537700444000953,0.0010053699952550232,0.052821925666648895,1.5190583026463476,0.21091936895390972,0.011631757136218378,0.05224884973977633,0.0,
meeting,n12-h800,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,800,,12,800,ok,1.0,12.928808216005564,1.6106743220201072,0.07498182620623738,0.0011530109914019704,0.053206580671637006,1.5574677413484703,0.24136730399914086,0.010512560907014669,0.06468421913840798,0.0,
meeting,n12-h900,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,900,,12,900,ok,1.0,13.318968102044892,1.7063877499701146,0.06199109147561047,0.0011707399971783161,0.05914325965568423,1.6472444903144303,0.2733792790095322,0.01703025298074204,0.07631639622455387,0.0,
meeting,n12-h1000,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,goal,1000,,12,1000,ok,1.0,13.584361314948183,1.713083194355325,0.05421825644139532,0.0010431029950268567,0.04590284535273289,1.6671803490025923,0.30803085200022906,0.0070767836456849635,0.05025479488491415,0.0,
