suite,case_id,tool,num_work_runs,property,horizon,constants,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
meeting,n2-h10,rubicon,3,goal,10,,2,10,ok,0.063251755397,0.3875987403249989,0.010150331550171672,
meeting,n3-h10,rubicon,3,goal,10,,3,10,ok,0.0235439500572,0.3985921189887449,0.01816952253138183,
