suite,case_id,tool,storm_extra_args,num_trials,property,horizon,constants,Q,N,H,status,probability,elapsed_seconds,error_message
parqueues,q3-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",3,3,10,ok,0.7833762427,0.062454705010168254,
parqueues,q4-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",4,3,10,ok,0.02648762758,0.06611365999560803,
parqueues,q5-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",5,3,10,ok,0.03240260198,0.06802760402206331,
parqueues,q6-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",6,3,10,ok,0.03444141195,0.11977121396921575,
parqueues,q7-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",7,3,10,ok,0.03559797426,0.46146814490202814,
parqueues,q8-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",8,3,10,ok,0.03584754923,3.068150845938362,
parqueues,q9-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",9,3,10,ok,0.03729385656,20.460399255971424,
parqueues,q10-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",10,3,10,failed,,144.5631446619518,Exit code 11
parqueues,q11-n3-h10,storm.spm,-tm,1,target,10,"{""N"": 3}",11,3,10,failed,,1212.4413028518902,Exit code 15
