suite,case_id,tool,backend,dtype,num_work_runs,num_timed_runs,property,horizon,constants,Q,N,H,status,probability,elapsed_seconds,work_seconds,work_std,load_seconds,compile_seconds,warmup_avg_seconds,measured_avg_seconds,compile_std,warmup_std,measured_std,error_message
parqueues,q9-n3-h1,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,1,"{""N"": 3}",9,3,1,ok,0.0,8.202709058008622,0.9211311436568698,0.022582027415575925,0.0007284129969775677,0.04068702333218729,0.8804441203246824,0.0005653349799104035,0.015448666378373074,0.033575615890435395,0.0,
parqueues,q9-n3-h2,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,2,"{""N"": 3}",9,3,2,ok,0.0,8.095537913963199,0.8655243323494991,0.0228144168162113,0.0007136979838833213,0.03617026767460629,0.8293540646748928,0.0008360480424016714,0.007645196560285576,0.019110745697503994,0.0,
parqueues,q9-n3-h3,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,3,"{""N"": 3}",9,3,3,ok,0.00198157,8.048604542040266,0.8894958573315913,0.033086469090698324,0.000641411985270679,0.03168394201202318,0.8578119153195681,0.001145989983342588,0.003484937861131169,0.03445768137071202,0.0,
parqueues,q9-n3-h4,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,4,"{""N"": 3}",9,3,4,ok,0.01457853,8.236008299980313,0.8708014950000992,0.072617172567045,0.0006302559631876647,0.03160718267705912,0.83919431232304,0.0014473500195890665,0.0034602028023675707,0.075994697461804,0.0,
parqueues,q9-n3-h5,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,5,"{""N"": 3}",9,3,5,ok,0.02758536,8.118729380017612,0.8714848243592618,0.07713524811649411,0.0006904120091348886,0.04009680669211472,0.831388017667147,0.0017213409882970154,0.010382803386908111,0.06769468445534323,0.0,
parqueues,q9-n3-h6,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,6,"{""N"": 3}",9,3,6,ok,0.03411829,7.843293481040746,0.847791891991316,0.05293507545351881,0.000635995005723089,0.048065781651530415,0.7997261103397856,0.00199137901654467,0.014742881601823202,0.046934013617557065,0.0,
parqueues,q9-n3-h7,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,7,"{""N"": 3}",9,3,7,ok,0.03642315,8.269546932016965,0.8829985996514248,0.025578905052443996,0.0006252829916775227,0.04228099499596283,0.840717604655462,0.002302784996572882,0.011533561025148246,0.015506701882257425,0.0,
parqueues,q9-n3-h8,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,8,"{""N"": 3}",9,3,8,ok,0.03708668,8.18898429494584,0.923466018672722,0.0274641599855661,0.0008506830199621618,0.04030673101078719,0.8831592876619349,0.002549825992900878,0.011700401375411429,0.02531180184514282,0.0,
parqueues,q9-n3-h9,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,9,"{""N"": 3}",9,3,9,ok,0.03725475,8.262375208025333,0.896591366676148,0.05058178682833453,0.0006290230085141957,0.05280407199946543,0.8437872946766826,0.002818823966663331,0.00664086833778519,0.04447257760255157,0.0,
parqueues,q9-n3-h10,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,10,"{""N"": 3}",9,3,10,ok,0.03729386,8.241096487967297,0.8766897773408951,0.019875136664438593,0.0007514749886468053,0.04060423967894167,0.8360855376619535,0.0031333540100604296,0.011462093302307847,0.017266614121157094,0.0,
parqueues,q9-n3-h20,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,20,"{""N"": 3}",9,3,20,ok,0.0373047,8.174308093031868,0.8971239423456913,0.045859387022967775,0.0007458809996023774,0.043637206680917494,0.8534867356647737,0.005814684031065553,0.011228739203677824,0.050878986025087426,0.0,
parqueues,q9-n3-h30,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,30,"{""N"": 3}",9,3,30,ok,0.0373047,8.50749543699203,0.9339729893448142,0.0222861167142385,0.0007325260085053742,0.045713537683089576,0.8882594516617246,0.00857615499990061,0.006207823414300606,0.022531706978270317,0.0,
parqueues,q9-n3-h40,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,40,"{""N"": 3}",9,3,40,ok,0.0373047,7.968189405975863,0.8684234040168425,0.037839695973453547,0.0006779010291211307,0.03716938168508932,0.8312540223317532,0.011370237043593079,0.012866334341178832,0.02650482008291107,0.0,
parqueues,q9-n3-h50,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,50,"{""N"": 3}",9,3,50,ok,0.0373047,8.190539870003704,0.9057466846425086,0.0378349640636482,0.0006274370243772864,0.030433700982636463,0.8753129836598722,0.01415737095521763,0.0037914147873491714,0.04100312957023709,0.0,
parqueues,q9-n3-h60,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,60,"{""N"": 3}",9,3,60,ok,0.0373047,8.361532090988476,0.8192977286526002,0.021487730683848034,0.0007308520143851638,0.03007396134004618,0.7892237673125541,0.016988635004963726,0.002265924871272628,0.02319836571175797,0.0,
parqueues,q9-n3-h70,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,70,"{""N"": 3}",9,3,70,ok,0.0373047,8.106065308966208,0.9073031786635207,0.054929570537074396,0.0006737340008839965,0.040634405333548784,0.8666687733299719,0.019963342987466604,0.018443318655146614,0.03661200938329828,0.0,
parqueues,q9-n3-h80,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,80,"{""N"": 3}",9,3,80,ok,0.0373047,8.598886122985277,0.993214106982729,0.030624223599083275,0.0006983219645917416,0.047859900999659054,0.9453542059830701,0.02274773601675406,0.0017011262219006518,0.029283259120524482,0.0,
parqueues,q9-n3-h90,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,90,"{""N"": 3}",9,3,90,ok,0.0373047,8.281080282991752,0.9167312986489075,0.013536217564794109,0.0007643710123375058,0.04223908932181075,0.8744922093270967,0.025658604979980737,0.022574675175285035,0.025747286762527483,0.0,
parqueues,q9-n3-h100,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,100,"{""N"": 3}",9,3,100,ok,0.0373047,8.282583226973657,0.9179115683267204,0.08043415006642378,0.0007553740288130939,0.03971515865608429,0.8781964096706361,0.02853274199878797,0.010131053175885522,0.08986083532187675,0.0,
parqueues,q9-n3-h200,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,200,"{""N"": 3}",9,3,200,ok,0.0373047,8.675148656999227,0.9778409389934192,0.048725196142210665,0.0007323530153371394,0.04110756665856267,0.9367333723348565,0.05732277897186577,0.007709067793655182,0.05444112658183495,0.0,
parqueues,q9-n3-h300,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,300,"{""N"": 3}",9,3,300,ok,0.0373047,9.007148171018343,1.036480840004515,0.03957675538637511,0.0010084700188599527,0.042874058010056615,0.9936067819944583,0.08530311501817778,0.011515230192133923,0.03153090451886069,0.0,
parqueues,q9-n3-h400,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,400,"{""N"": 3}",9,3,400,ok,0.0373047,8.61495748301968,0.9954428719938733,0.05364599438647792,0.0006343579734675586,0.04333127600451311,0.9521115959893601,0.11467962601454929,0.013351957355510058,0.046101217787245116,0.0,
parqueues,q9-n3-h500,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,500,"{""N"": 3}",9,3,500,ok,0.0373047,9.162347872974351,1.0436327399802394,0.04590372046596096,0.0006340660038404167,0.05158050432025144,0.992052235659988,0.11313407099805772,0.008993026892751244,0.04859176563033175,0.0,
parqueues,q9-n3-h600,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,600,"{""N"": 3}",9,3,600,ok,0.0373047,9.02425606700126,1.0189275203156285,0.060695980997316754,0.0007480059866793454,0.03376517964837452,0.9851623406672539,0.13704870699439198,0.0026103562564825417,0.058262021677154156,0.0,
parqueues,q9-n3-h700,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,700,"{""N"": 3}",9,3,700,ok,0.0373047,9.355260787997395,1.0175698706298135,0.06662420907822016,0.0007354720146395266,0.03666938697764029,0.9809004836521732,0.15897627704543993,0.012288637483464123,0.07788855507805205,0.0,
parqueues,q9-n3-h800,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,800,"{""N"": 3}",9,3,800,ok,0.0373047,9.295433344959747,1.0554868253141951,0.01940563335231922,0.0006855889805592597,0.030934942323559273,1.024551882990636,0.18180613598087803,0.0051924915500696465,0.024568795459720797,0.0,
parqueues,q9-n3-h900,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,900,"{""N"": 3}",9,3,900,ok,0.0373047,9.998075233015697,1.1339304816986744,0.12560762097890693,0.0006571679841727018,0.03438608600602796,1.0995443956926465,0.20468015497317538,0.002598149262923442,0.12404604539844499,0.0,
parqueues,q9-n3-h1000,tessa.jax-cuda-0,jax:cuda:0,float64,3,1,target,1000,"{""N"": 3}",9,3,1000,ok,0.0373047,9.665398071985692,1.0712576930139524,0.01988078693731547,0.0006253670435398817,0.03057020667862768,1.0406874863353248,0.22736274800263345,0.0022396004964168304,0.019510994406144896,0.0,
