suite,case_id,tool,num_work_runs,storm_extra_args,property,horizon,constants,Q,N,H,status,probability,elapsed_seconds,elapsed_std,error_message
parqueues,q3-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",3,3,10,ok,0.7833762427,0.06415890933324893,0.01463238800130691,
parqueues,q4-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",4,3,10,ok,0.02648762758,0.06440783699508756,0.000981309509380052,
parqueues,q5-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",5,3,10,ok,0.03240260198,0.07129971100948751,0.004012750940378163,
parqueues,q6-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",6,3,10,ok,0.03444141195,0.1250294370111078,0.004994952077782006,
parqueues,q7-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",7,3,10,ok,0.03559797426,0.4458055163462025,0.0008200855288683352,
parqueues,q8-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",8,3,10,ok,0.03584754923,2.809497468348127,0.02216794362636998,
parqueues,q9-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",9,3,10,ok,0.03729385656,20.121568149693,0.295195016388102,
parqueues,q10-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",10,3,10,ok,0.0373109389,149.84943346333844,0.9891418638646577,
parqueues,q11-n3-h10,storm.spm,3,-tm --sylvan:threads 1,target,10,"{""N"": 3}",11,3,10,failed,,1170.4431406789809,0.0,Exit code 15
